ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
972	0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0	0,1,21,32,26,7,0,5,39,32,0,62,0,99,0,39	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	6,4,0,79,8,4,4,5,37,20,0,65,0,50,0,26	1411	269
974	0,0,3,0,5,0,2,4,11,2,6,7,0,1,0,0	0,0,0,0,0,0,1,3,5,0,8,8,0,9,4,0	1,0,0,5,0,0,1,4,7,0,2,0,0,0,0,0	1,0,0,9,2,1,2,3,1,4,7,2,0,2,0,0	272	269
975	28,151,73,207,208,88,101,287,346,137,433,378,17,244,137,175	41,104,68,145,268,85,126,283,267,133,395,372,2,281,163,198	21,127,132,232,176,85,89,179,174,64,183,115,11,110,133,100	18,125,166,180,158,94,77,161,171,74,157,92,18,123,169,95	272	269
976	431,315,177,411,539,439,478,631,246,373,976,1109,74,561,396,669	294,213,168,225,274,294,248,323,133,383,600,627,54,340,224,434	11,247,319,248,415,505,318,342,301,158,538,392,122,290,295,386	9,199,304,193,337,335,198,309,281,159,599,237,60,309,235,355	329	269
980	0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2	0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0	287	269
982	103,305,385,140,141,279,166,53,287,443,363,118,10,279,100,302	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	184,331,442,144,143,294,136,70,395,643,280,39,8,192,120,520	0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0	429	269
985	0,5,0,5,0,1,4,7,8,0,9,33,1,4,2,8	0,0,0,2,0,0,0,0,0,0,3,15,0,2,0,0	0,2,1,0,7,4,2,4,2,0,9,1,0,16,3,6	0,0,1,0,4,2,0,0,0,0,4,4,0,7,0,0	272	269
986	17,11,13,12,64,73,15,69,17,91,158,201,3,132,24,112	1,0,1,2,6,3,3,10,3,0,10,13,0,12,4,8	4,20,13,10,140,85,38,87,7,118,147,116,4,126,31,205	2,1,3,0,2,0,0,16,4,2,12,6,0,3,5,11	7616	269
987	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,2,0,5,0,0,12,3,0,3,1,8	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	1,1,0,1,4,1,0,0,0,0,4,6,0,0,1,2	7616	269
990	0,0,4,0,0,4,1,0,0,0,4,10,1,0,8,0	0,2,0,0,0,2,1,0,0,0,0,3,0,0,0,0	3,0,1,0,1,7,2,2,0,0,1,4,1,1,2,0	0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0	336	269
991	1,1,0,0,0,8,8,1,0,2,3,18,0,2,8,2	0,0,0,0,0,6,7,0,0,3,1,11,0,2,9,2	0,0,0,1,0,7,1,3,0,0,5,4,0,6,4,1	4,0,0,0,3,4,5,0,1,3,11,1,0,5,1,3	272	269
992	1,6,0,1,3,8,0,1,0,4,6,0,0,6,0,4	0,0,0,0,3,3,0,0,0,4,0,0,0,0,2,3	0,1,0,0,2,5,0,0,1,0,2,5,0,4,1,2	0,0,1,0,0,3,0,1,7,0,0,2,0,0,0,0	272	269
993	3,3,17,1,20,6,22,6,7,21,50,27,0,23,8,15	0,2,0,0,1,1,1,0,3,0,5,1,0,1,0,3	3,7,13,15,10,11,33,12,6,12,46,24,0,13,3,17	0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,3	272	269
994	7,13,5,15,250,180,7,100,19,201,174,374,6,322,86,310	0,0,0,1,0,1,0,0,1,4,0,7,0,3,2,2	6,10,2,29,285,201,19,140,10,223,137,286,0,250,80,448	0,0,0,0,3,3,0,0,0,1,1,2,0,2,0,1	273	269
996	0,0,0,0,1,0,0,0,1,12,10,8,0,2,0,5	0,0,0,0,7,0,0,2,5,16,16,13,0,6,0,16	0,0,0,0,1,0,0,3,0,5,12,6,0,2,0,8	0,0,0,0,8,0,0,0,4,2,16,4,0,6,0,12	272	269
998	0,1,0,0,5,5,5,2,3,0,7,7,0,3,1,0	37,127,153,198,561,178,368,385,540,394,816,360,1,672,90,467	2,0,3,2,1,0,3,3,4,0,7,2,0,1,0,3	120,166,233,311,397,183,316,349,545,230,787,297,7,401,87,372	291	269
999	7,20,38,21,24,24,91,10,25,89,104,49,4,87,4,83	0,5,0,0,4,4,6,0,4,4,9,0,0,2,0,0	8,32,16,23,25,30,94,7,29,39,78,33,1,32,5,41	0,0,0,0,0,9,2,1,0,4,6,2,0,1,0,5	272	269
1001	0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4	0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	288	269
1002	18,60,45,57,105,120,51,71,98,176,193,188,5,205,147,234	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	42,63,140,88,80,114,53,87,80,73,102,134,8,93,118,152	1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2	316	269
1008	0,0,0,0,1,0,10,0,0,0,6,2,0,1,0,2	0,0,1,0,3,0,71,0,2,40,40,30,0,0,0,27	0,0,0,0,0,0,8,0,0,0,1,1,0,5,0,2	0,0,3,0,13,1,67,2,2,26,46,22,0,9,0,29	286	269
1009	0,0,0,0,0,0,1,7,0,6,9,15,0,5,1,1	0,0,1,0,2,1,6,2,0,2,19,16,0,3,3,6	0,0,0,0,4,3,1,1,0,0,15,12,0,7,0,2	0,0,2,0,5,1,0,3,1,0,19,14,0,8,2,7	272	269
1010	4,21,52,19,85,34,7,43,34,33,124,64,1,123,33,114	3,1,5,6,16,8,2,22,7,27,14,12,0,13,8,8	10,39,26,39,62,33,4,69,33,70,89,48,0,63,27,134	4,1,3,3,9,8,6,9,0,28,23,10,1,5,2,15	296	269
1011	0,0,0,0,0,0,0,4,0,0,0,2,0,2,1,0	0,0,0,0,1,0,0,1,0,11,0,8,0,0,3,0	0,0,0,0,0,0,0,2,0,0,0,2,0,1,6,0	0,0,0,0,1,0,0,6,0,6,0,4,0,0,6,0	272	269
1017	1,0,3,0,1,5,1,0,1,5,7,10,0,11,0,10	1,1,4,0,9,4,2,0,3,11,13,16,0,18,0,23	0,2,10,0,2,6,0,0,0,4,4,3,0,7,0,14	1,4,6,1,5,6,4,0,2,20,20,14,0,17,0,16	323	269
1018	0,0,0,0,1,0,0,0,8,4,0,1,0,0,0,0	0,0,0,2,0,1,0,0,0,7,0,1,0,0,0,0	0,0,6,1,0,0,0,1,5,0,0,0,0,1,0,0	0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,3	272	269
1019	0,0,0,0,4,0,0,0,6,17,0,2,0,15,0,11	0,0,0,1,0,0,0,1,1,0,0,0,0,7,0,2	0,0,0,1,2,0,0,1,1,3,0,0,0,4,0,5	0,0,0,3,0,0,0,3,4,0,0,0,0,2,0,1	272	269
1020	0,2,3,1,1,3,0,0,3,0,0,0,0,0,8,0	2,4,16,2,0,0,0,0,4,0,0,0,0,0,2,0	7,10,4,1,0,5,0,0,3,0,0,2,0,1,4,0	3,0,6,2,0,1,0,0,4,1,0,0,0,1,0,2	272	269
1022	1,3,12,8,0,0,2,1,2,10,0,8,0,4,1,3	6,6,8,24,6,6,0,3,7,15,1,9,0,16,10,9	0,3,4,3,3,8,0,3,2,6,0,0,0,18,3,16	3,7,9,27,4,12,0,1,3,10,0,5,1,26,10,43	272	269
1023	2,3,0,2,11,56,39,1,1,27,16,48,1,5,18,10	0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0	1,2,1,4,6,32,22,0,2,1,17,13,0,6,5,22	0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0	329	269
1024	2,23,11,21,2,9,3,1,7,3,21,38,2,1,3,3	1,19,24,23,5,18,0,4,3,3,9,46,0,5,2,5	0,6,6,0,4,9,2,1,3,0,7,4,0,0,7,1	0,5,14,7,9,12,2,6,12,1,12,10,0,8,8,4	272	269
1025	1,12,6,9,19,47,10,9,6,34,29,40,0,35,51,24	0,3,1,1,3,11,3,4,0,8,20,4,0,8,15,12	1,11,7,2,18,59,4,25,22,57,45,14,2,35,28,20	0,2,0,0,14,14,0,3,7,0,25,3,0,19,7,5	305	269
1026	3,13,37,22,84,70,6,56,27,87,126,122,1,126,90,139	5,14,10,21,18,24,3,2,19,22,35,44,6,39,23,23	13,47,51,35,74,80,6,49,28,53,69,58,2,62,78,150	2,19,24,8,14,20,1,6,14,1,21,38,2,16,14,34	287	269
1028	0,0,1,4,1,0,5,0,1,0,5,6,0,2,0,0	2,0,4,10,2,4,1,7,3,0,7,16,0,10,2,0	0,0,3,2,1,0,0,2,11,0,1,3,0,2,0,0	0,1,5,9,4,0,5,1,15,0,7,3,0,2,2,1	389	269
1029	1,5,1,0,4,0,1,3,0,6,0,5,1,2,13,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,4,1,0,0,0,0,4,2,0,0,5,4,4,9,4	0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1	316	269
1031	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	296	269
1032	1,3,2,4,0,6,0,0,4,2,0,2,1,3,2,0	0,1,0,0,0,4,2,1,2,0,3,4,0,0,2,3	4,1,4,7,3,0,1,1,2,1,0,2,0,0,1,8	0,1,2,2,0,1,4,1,2,6,0,2,0,0,0,0	272	269
1033	19,100,112,32,68,93,27,47,151,193,57,71,3,145,57,174	28,71,89,45,62,87,23,45,178,130,93,56,2,116,38,129	41,117,106,93,66,108,26,46,144,165,56,22,1,69,40,145	44,92,79,84,50,109,20,37,157,121,53,21,6,85,48,137	272	269
1035	0,6,1,2,0,38,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0	0,4,0,0,1,37,2,0,0,0,0,0,0,5,0,0	0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0	272	269
1036	0,0,3,8,82,13,19,72,20,269,131,291,41,124,273,239	0,0,0,0,4,0,0,2,0,3,5,10,3,2,18,5	0,2,1,4,179,13,14,108,3,257,149,152,27,178,189,463	0,0,1,0,17,1,1,4,0,19,3,4,2,4,15,18	272	269
1037	1,1,7,0,7,15,4,12,7,15,41,70,0,16,3,11	0,0,0,0,5,2,1,1,0,0,13,19,0,3,0,1	0,3,3,5,22,8,1,22,4,19,56,29,0,15,0,29	0,2,0,2,1,0,0,4,0,0,8,7,0,5,0,2	329	269
1038	52,45,23,39,424,253,98,424,40,565,720,664,24,629,384,551	1,0,0,0,10,2,2,5,0,0,27,15,0,10,6,9	23,31,29,30,564,287,79,419,22,339,884,380,22,541,267,898	0,2,0,0,4,3,0,7,0,24,10,2,0,9,9,17	290	269
