ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
879	2,16,9,8,10,21,2,8,6,58,4,13,2,27,11,34	0,0,4,1,0,2,0,5,0,14,4,2,0,2,0,3	0,22,23,13,13,12,0,6,14,13,1,4,4,29,12,22	0,5,0,1,1,2,0,0,4,0,0,0,0,2,6,3	316	269
880	0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0	3,9,5,6,16,2,1,5,22,11,22,20,0,12,4,4	2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0	5,10,4,11,5,8,3,5,10,2,12,8,0,5,2,8	286	269
886	0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1	0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0	0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	316	269
887	0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0	0,0,3,2,0,1,0,0,1,0,5,1,1,3,1,0	0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0	1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2	271	269
888	567,817,626,585,3073,835,651,2401,764,2466,2789,4445,95,2908,322,3343	23,33,16,12,88,10,7,90,26,22,80,179,3,85,9,65	59,727,892,477,2058,834,525,1716,969,1822,3079,3663,106,2472,325,3489	1,15,15,18,59,20,23,40,38,39,111,101,1,68,12,75	286	269
889	603,860,656,611,3253,879,680,2561,813,2587,3002,4696,101,3113,341,3545	234,351,362,256,1214,399,318,1179,351,878,1479,2182,46,1102,185,1176	60,761,947,505,2196,889,556,1829,1042,1936,3247,3813,108,2618,354,3693	23,278,312,204,843,374,282,826,382,689,1722,1575,52,1029,194,1306	289	269
890	59,76,46,38,268,54,36,250,75,143,293,430,9,290,28,267	234,351,362,256,1214,399,318,1179,351,878,1479,2182,46,1102,185,1176	2,49,70,46,197,75,54,153,111,153,279,251,3,214,41,279	23,278,312,204,843,374,282,826,382,689,1722,1575,52,1029,194,1306	271	269
891	0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	382	269
892	6,21,7,4,17,29,4,19,37,91,33,43,4,56,19,71	0,1,4,3,2,3,1,2,0,9,1,4,0,6,0,5	1,15,14,4,31,38,5,31,11,87,26,21,5,29,25,80	0,2,4,1,1,1,0,6,2,3,3,1,0,1,2,5	384	269
893	1,7,8,0,4,17,1,8,20,51,11,18,2,24,9,30	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3	1,11,7,2,12,17,3,10,6,37,18,12,3,4,14,35	0,0,4,0,1,0,0,4,0,4,0,0,0,0,0,2	384	269
894	1,7,7,0,3,14,1,5,20,36,8,16,1,18,6,27	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,11,6,2,8,15,3,10,3,32,11,11,3,4,13,30	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	384	269
895	1,7,7,0,9,15,1,5,24,72,9,18,1,18,10,29	0,0,0,0,0,0,0,1,1,12,0,2,0,0,0,1	1,11,6,2,17,15,9,16,6,32,12,12,3,4,16,31	0,0,0,0,0,0,0,1,0,9,3,0,0,0,0,0	384	269
896	1,7,7,0,3,14,1,6,20,33,8,16,1,19,7,28	0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0	1,11,9,2,8,15,3,10,3,32,12,11,3,4,14,33	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	384	269
897	0,0,3,2,0,6,0,0,8,15,0,0,0,0,0,15	1,0,4,0,7,2,3,0,5,44,16,2,0,23,1,17	0,0,0,2,4,0,0,2,15,2,0,2,0,6,1,6	0,0,0,2,6,0,2,6,35,4,8,0,0,3,0,29	338	269
899	30,57,61,58,87,80,18,60,123,121,133,172,10,140,75,188	3,16,16,6,19,11,4,15,15,12,27,50,4,27,17,25	20,50,74,98,93,54,22,49,105,137,130,132,4,148,58,189	8,12,17,11,15,8,8,12,12,11,24,12,1,18,7,20	279	269
900	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0	279	269
901	0,2,0,0,0,0,0,1,0,0,9,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0	0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3	538	269
902	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	538	269
