ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
535	0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0	2,22,18,11,28,6,19,21,23,33,70,134,0,27,20,44	0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0	2,14,17,10,54,12,18,31,31,52,99,91,3,57,14,41	538	269
536	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,45,35,37,72,49,559,31,49,92,508,136,2,92,26,160	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0	6,54,37,19,89,61,477,43,73,141,578,60,3,117,21,194	538	269
537	0,0,0,1,1,3,2,0,0,0,2,1,0,0,0,2	17,39,29,22,83,160,53,96,12,214,279,306,11,188,106,311	0,0,0,0,1,1,0,1,0,1,0,3,0,0,2,0	1,15,26,31,195,172,68,87,44,153,283,205,6,204,75,346	538	269
538	0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,2,0,5,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0	344	269
539	1,4,7,12,11,47,13,17,4,5,23,102,2,16,9,9	4,1,0,2,5,12,2,8,18,0,13,17,0,14,5,7	4,3,9,10,12,45,3,11,11,4,10,24,0,5,14,6	2,5,5,9,4,9,0,4,3,0,9,1,0,3,8,1	538	269
541	0,4,5,0,2,7,4,1,3,7,8,0,0,3,2,4	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	3,4,6,1,1,0,1,1,1,2,7,1,0,5,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	538	269
544	0,6,0,4,3,0,0,1,1,0,5,12,0,1,0,1	1,6,0,5,1,0,1,2,3,0,3,1,0,3,3,1	0,6,4,1,1,0,1,3,2,5,5,3,0,2,0,2	0,0,2,2,4,1,0,7,7,5,3,5,0,1,8,4	538	269
545	0,6,0,4,3,1,0,1,1,2,5,16,0,1,0,1	0,0,1,0,0,1,3,0,9,0,8,2,0,5,0,0	0,6,4,1,1,1,1,4,2,8,7,3,0,2,0,2	0,0,0,3,1,1,2,3,0,1,6,2,0,4,2,2	538	269
546	0,6,0,4,3,1,0,1,1,2,5,16,0,1,0,1	6,28,23,18,12,8,22,20,60,4,36,53,0,42,21,23	0,6,4,1,1,1,1,4,2,8,7,3,0,2,0,2	4,27,28,41,17,21,11,8,61,3,24,19,1,18,17,18	538	269
550	0,1,0,0,3,1,0,0,1,6,0,0,0,5,0,2	0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3	0,0,0,1,0,1,0,0,0,3,1,1,0,3,0,0	0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0	538	269
552	99,17,40,190,257,727,54,518,62,382,360,678,177,545,926,483	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	7,4,14,71,351,509,72,365,42,236,255,320,181,539,745,579	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	294	269
553	0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,2,1,5,4,19,0,1,0,0,4,12,1,6,12,5	0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0	2,1,4,1,4,11,5,4,4,33,2,1,1,6,9,13	442	269
561	0,0,0,0,2,1,0,0,2,7,8,3,0,4,0,8	0,0,0,0,3,0,0,0,0,1,6,0,0,7,0,25	0,0,0,2,3,1,0,0,3,5,2,0,0,1,0,9	0,0,0,0,4,0,0,1,0,3,5,0,0,10,0,26	360	269
566	2,0,1,0,0,0,0,0,2,1,4,0,0,1,1,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,4,0,2,0,0,0,1,0,0,0,0,1,1,3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	538	269
